id,familia,subfamilia,codigo,marca,tipo,lado,descripcion,precio,stock,proveedor,fecha_actualizacion
1,Correas,Correas Poly V,3PK715,SKF,,,"RENAULT CLIO, R19",5000,1,GRUPO AUTOPARTES,2026-05-27
2,Correas,Correas Poly V,3PK719,SKF,,,"FIAT PUNTO 1.7, PALIO 1.7",5000,1,GRUPO AUTOPARTES,2026-05-19
3,Correas,Correas Poly V,3PK750,SKF,,,"HONDA CIVIC, CLIO II",5000,2,GRUPO AUTOPARTES,2026-06-29
4,Correas,Correas Poly V,3PK796,SKF,,,"VW FOX, SURAN, GOL TREND",9500,6,GRUPO AUTOPARTES,2026-05-19
5,Correas,Correas Poly V,3PK796EE,SKF,,,"VW FOX, GOL",15000,1,GRUPO AUTOPARTES,2026-07-01
6,Correas,Correas Poly V,3PK830,SKF,,,RENAULT CLIO,6000,4,GRUPO AUTOPARTES,2026-05-19
7,Correas,Correas Poly V,3PK890,SKF,,,"CHEV PRISMA, ONIX",7500,5,GRUPO AUTOPARTES,2026-05-19
8,Correas,Correas Poly V,3PK905,SKF,,,"FIAT PUNTO 1.4, IDEA, PALIO",4500,6,GRUPO AUTOPARTES,2026-05-19
9,Correas,Correas Poly V,3PK938,SKF,,,"PEUGEOT BOXER, FIAT PUNTO",7500,1,GRUPO AUTOPARTES,2026-05-19
10,Correas,Correas Poly V,4PK1005,SKF,,,NISSAN,10000,1,GRUPO AUTOPARTES,2026-05-19
11,Correas,Correas Poly V,4PK1022,SKF,,,"FIAT, PALIO, SIENA, STRADA",9000,2,GRUPO AUTOPARTES,2026-05-19
12,Correas,Correas Poly V,4PK1070,SKF,,,"RENAULT CLIO 1.2, HONDA",9500,1,GRUPO AUTOPARTES,2026-05-19
13,Correas,Correas Poly V,4PK1538,SKF,,,"PEUGEOT 206, RENAULT CLIO II",10500,2,GRUPO AUTOPARTES,2026-07-01
14,Correas,Correas Poly V,4PK855,SKF,,,"PEUOGEOT PARNET, 306",7000,1,GRUPO AUTOPARTES,2026-05-19
15,Correas,Correas Poly V,4PK907,SKF,,,"FIAT PALIO, SIENA, PALIO AVENTURE",9000,1,GRUPO AUTOPARTES,2026-05-19
16,Correas,Correas Poly V,4PK955,SKF,,,CITROEN BX,6500,1,GRUPO AUTOPARTES,2026-05-19
17,Correas,Correas Poly V,5PK1030,DAYCO,,,"CHEV PRISMA, ONIX",10000,2,GRUPO AUTOPARTES,2026-05-27
18,Correas,Correas Poly V,5PK1135,SKF,,,,12000,1,GRUPO AUTOPARTES,2026-05-19
19,Correas,Correas Poly V,5PK1137,SKF,,,"RENAULT MEGANE, KANGOO",11500,2,GRUPO AUTOPARTES,2026-05-19
20,Correas,Correas Poly V,5PK1152,SKF,,,FIAT DOBLO,13500,0,GRUPO AUTOPARTES,2026-05-19
21,Correas,Correas Poly V,5PK1165,SKF,,,"RENAULT R9, R11",10000,2,GRUPO AUTOPARTES,2026-05-19
22,Correas,Correas Poly V,5PK1170,SKF,,,"FIAT MOBI, IDEA 1.4, PALIO 1.4",11000,2,GRUPO AUTOPARTES,2026-05-19
23,Correas,Correas Poly V,5PK1173,SKF,,,,12500,1,GRUPO AUTOPARTES,2026-05-19
24,Correas,Correas Poly V,5PK1190,SKF,,,,9500,2,GRUPO AUTOPARTES,2026-05-19
25,Correas,Correas Poly V,5PK1195,DAYCO,,,,10000,1,,2026-06-12
26,Correas,Correas Poly V,5PK1700,DAYCO,,,UNIVERSAL,18000,1,GRUPO AUTOPARTES,2026-05-27
27,Correas,Correas Poly V,5PK1750,SKF,,,"RENAULT CLIO, MEGANE, KANGOO",12000,2,GRUPO AUTOPARTES,2026-05-19
28,Correas,Correas Poly V,5PK1755,DAYCO,,,RENAULT KANGOO,12000,1,GRUPO AUTOPARTES,2026-05-27
29,Correas,Correas Poly V,5PK1795,SKF,,,"CHEV CORSA, NISSAN",14500,1,GRUPO AUTOPARTES,2026-05-19
30,Correas,Correas Poly V,5PK1815,DAYCO,,,"CHEV MERIVA, MONTANA, SORSA II,FIAT IDEA",13500,1,GRUPO AUTOPARTES,2026-05-27
31,Correas,Correas Poly V,6PK1000,SKF,,,"PEUGEOT 307, RENAULT CLIO",8500,1,GRUPO AUTOPARTES,2026-05-19
32,Correas,Correas Poly V,6PK1015,SKF,,,"PEUGEOT 407, PARNET, FORD RANGER",13500,1,GRUPO AUTOPARTES,2026-05-19
33,Correas,Correas Poly V,6PK1029,SKF,,,,17000,1,GRUPO AUTOPARTES,2026-05-19
34,Correas,Correas Poly V,6PK1030EE,SKF,,,"FORD KA, FIESTA, ECOSPORT",16000,1,GRUPO AUTOPARTES,2026-05-19
35,Correas,Correas Poly V,6PK1045,SKF,,,"PEUGEOT PARNET, 3008, CITROEN BERLINGO",12500,1,GRUPO AUTOPARTES,2026-05-19
36,Correas,Correas Poly V,6PK1065,SKF,,,"VW GOLF, POLO",13500,2,GRUPO AUTOPARTES,2026-05-19
37,Correas,Correas Poly V,6PK1070,SKF,,,"VW GOL 2.0, GOL 1.8, VOYAGE",12500,1,GRUPO AUTOPARTES,2026-05-19
38,Correas,Correas Poly V,6PK1080,SKF,,,"CITROEN ZX, FIAT PALIO",14500,1,GRUPO AUTOPARTES,2026-05-19
39,Correas,Correas Poly V,6PK1090,SKF,,,"VW SUEAN 1.9, PEUGEOT 307, CITROEN C3",14500,1,GRUPO AUTOPARTES,2026-05-19
40,Correas,Correas Poly V,6PK1100,SKF,,,"NISSAN, PEUGEOT 306",12500,1,GRUPO AUTOPARTES,2026-05-19
41,Correas,Correas Poly V,6PK1141,SKF,,,"RENAULT CLIO 2.0, CLIO, VOLVO",11000,2,GRUPO AUTOPARTES,2026-05-19
42,Correas,Correas Poly V,6PK1152,SKF,,,"PEUGEOT 206, 306",11000,1,GRUPO AUTOPARTES,2026-05-27
43,Correas,Correas Poly V,6PK1165,SKF,,,"PEUGEOY 406, PARNET",10500,1,GRUPO AUTOPARTES,2026-05-19
44,Correas,Correas Poly V,6PK1190,SKF,,,RENAULT KANGOO,13000,1,GRUPO AUTOPARTES,2026-05-19
45,Correas,Correas Poly V,6PK1200,SKF,,,"PEUGEOT 406, 307, 206, RENAULT CLIO",10000,7,GRUPO AUTOPARTES,2026-05-19
46,Correas,Correas Poly V,6PK1200EE,SKF,,,"GOL 1.6, POLO, SAVEIRO, FOX, CROSFOX",17500,2,GRUPO AUTOPARTES,2026-05-19
47,Correas,Correas Poly V,6PK1365,SKF,,,IVECO DAYLI,17000,1,GRUPO AUTOPARTES,2026-05-19
48,Correas,Correas Poly V,6PK1388,SKF,,,"PEUGEOT RANCH,PARNET, 206, 306",15500,1,GRUPO AUTOPARTES,2026-05-19
49,Correas,Correas Poly V,6PK1390,SKF,,,CITROEN BERLINGO,14500,1,GRUPO AUTOPARTES,2026-05-19
50,Correas,Correas Poly V,6PK1400,SKF,,,"RENAULT CLIO, KANGOO, VW GOL 1.9",13500,1,GRUPO AUTOPARTES,2026-05-19
51,Correas,Correas Poly V,6PK1420,DAYCO,,,"RANULT LAGUNA, FORD TRANSIT, ECOSPORT",18000,1,GRUPO AUTOPARTES,2026-07-01
52,Correas,Correas Poly V,6PK1435,SKF,,,"PEUGEOT RANCH, EXPERT, PARNET, 306",16000,2,GRUPO AUTOPARTES,2026-07-06
53,Correas,Correas Poly V,6PK1500,SKF,,,"RENAULT CLIO, VW CARAT",18500,3,GRUPO AUTOPARTES,2026-05-19
54,Correas,Correas Poly V,6PK1515,SKF,,,CHEV SILVERADO,18500,1,GRUPO AUTOPARTES,2026-05-19
55,Correas,Correas Poly V,6PK1555,SKF,,,"VW AMAROK 2.0, RENSULT CLIO, R19",13500,1,GRUPO AUTOPARTES,2026-05-19
56,Correas,Correas Poly V,6PK1560,SKF,,,"VW AMAROK, CHEV CRUZE, SONIC",15000,1,GRUPO AUTOPARTES,2026-05-19
57,Correas,Correas Poly V,6PK1580,SKF,,,"VW GOL 1.9, COUNTRY, SAVEIRO",16500,2,GRUPO AUTOPARTES,2026-05-19
58,Correas,Correas Poly V,6PK1600,SKF,,,"PEUGEOT 806, 406, 306",19500,1,GRUPO AUTOPARTES,2026-05-19
59,Correas,Correas Poly V,6PK1625,SKF,,,"FORD ECOSPORT, F100, FORD FIESTA",19500,1,GRUPO AUTOPARTES,2026-05-19
60,Correas,Correas Poly V,6PK1680,SKF,,,RENAULT SANDERO,13500,1,GRUPO AUTOPARTES,2026-05-19
61,Correas,Correas Poly V,6PK1700,SKF,,,"PEUGEOT PARNET, 206, 306, 405 CHEV ASTRA",13000,1,GRUPO AUTOPARTES,2026-05-19
62,Correas,Correas Poly V,6PK1710,SKF,,,"PEUGEOT PARNET, CITROEN BERLINGO",18000,2,GRUPO AUTOPARTES,2026-05-19
63,Correas,Correas Poly V,6PK1715,SKF,,,"PEUGEOT PARNET, CITROEN C3, BERLINGO",19000,1,GRUPO AUTOPARTES,2026-05-19
64,Correas,Correas Poly V,6PK1750,SKF,,,"RENAULT LAGUNA,VW PASSAT",18500,3,GRUPO AUTOPARTES,2026-06-29
65,Correas,Correas Poly V,6PK1755,SKF,,,"PEUGEOT 406, PARNET",15000,2,GRUPO AUTOPARTES,2026-07-01
66,Correas,Correas Poly V,6PK1760,SKF,,,"RENAULT LAGUNA,VW PASSAT",18500,2,GRUPO AUTOPARTES,2026-05-19
67,Correas,Correas Poly V,6PK1780,SKF,,,"CHEV CELTA, PRISMA",17500,4,GRUPO AUTOPARTES,2026-05-19
68,Correas,Correas Poly V,6PK1790,SKF,,,VW GOL POWER,16500,1,GRUPO AUTOPARTES,2026-05-19
69,Correas,Correas Poly V,6PK1795,SKF,,,"CHEV CORSA, NISSAN",14500,4,GRUPO AUTOPARTES,2026-05-19
70,Correas,Correas Poly V,6PK1815,DAYCO,,,"FIAT PUNTO, PALIO, SIENA, STRADA",18500,1,GRUPO AUTOPARTES,2026-05-27
71,Correas,Correas Poly V,6PK1820,DAYCO,,,"RENAULT, DUGTER, LOGAN, SANDERO",19500,1,GRUPO AUTOPARTES,2026-05-27
72,Correas,Correas Poly V,6PK1822,SKF,,,RENAULT  LOGAN,27000,3,GRUPO AUTOPARTES,2026-05-19
73,Correas,Correas Poly V,6PK1830,SKF,,,MITSHUBISI,19500,1,GRUPO AUTOPARTES,2026-05-19
74,Correas,Correas Poly V,6PK1875,DAYCO,,,CHEV AVEO S10,15500,1,GRUPO AUTOPARTES,2026-05-27
75,Correas,Correas Poly V,6PK1900,SKF,,,"CHEV ASTRA, VECTRA",21500,2,GRUPO AUTOPARTES,2026-05-19
76,Correas,Correas Poly V,6PK1975,SKF,,,"CHEV ASTRA, FORD MONDEO",22500,1,GRUPO AUTOPARTES,2026-05-19
77,Correas,Correas Poly V,6PK2010,SKF,,,,17000,1,GRUPO AUTOPARTES,2026-05-19
78,Correas,Correas Poly V,6PK2225,SKF,,,FORD RANGER,21000,1,GRUPO AUTOPARTES,2026-05-27
79,Correas,Correas Poly V,6PK2234,SKF,,,"VW GOL 1.6, SAVEIRO 1.6",20500,2,GRUPO AUTOPARTES,2026-05-19
80,Correas,Correas Poly V,6PK2240,SKF,,,VW GOL 1.9,17500,5,GRUPO AUTOPARTES,2026-05-19
81,Correas,Correas Poly V,6PK2250,SKF,,,NISSAN,23000,2,GRUPO AUTOPARTES,2026-05-19
82,Correas,Correas Poly V,6PK2263,SKF,,,"VW GOL 2.0, CHEV VECTRA",23000,1,GRUPO AUTOPARTES,2026-05-19
83,Correas,Correas Poly V,6PK2345,SKF,,,FORD RANGER,26000,1,GRUPO AUTOPARTES,2026-05-19
84,Correas,Correas Poly V,6PK706,SKF,,,PEUGEOT BOXER,11000,1,GRUPO AUTOPARTES,2026-05-19
85,Correas,Correas Poly V,6PK725EE,DAYCO,,,"VW FOX, GOL",18000,1,GRUPO AUTOPARTES,2026-05-27
86,Correas,Correas Poly V,6PK762EE,DAYCO,,,"VW FOX, GOL",18000,1,GRUPO AUTOPARTES,2026-05-27
87,Correas,Correas Poly V,6PK900,SKF,,,"RENAULT CLIO 1.9, VW GOLF 2.0",10500,1,GRUPO AUTOPARTES,2026-05-19
88,Correas,Correas Poly V,6PK923,SKF,,,PEUGEOT EXPERT,10000,1,GRUPO AUTOPARTES,2026-05-19
89,Correas,Correas Poly V,6PK989,SKF,,,"VW GOL 1.6, GOLF1,6, POLO 1.6",12500,3,GRUPO AUTOPARTES,2026-05-19
90,Correas,Correas Poly V,7PK1545,SKF,,,"FORD F150,F100",22000,1,GRUPO AUTOPARTES,2026-05-19
91,Correas,Correas Poly V,8PK2205,SKF,,,"FORD F350,F250,F4000",29000,1,GRUPO AUTOPARTES,2026-05-19
92,Correas,Correas de Distribucion,085SHDN220HS,SKF,,,"ECOSPORT, FIESTA, MONDEO",13500,1,,2026-05-20
93,Correas,Correas de Distribucion,0955SP170H,SKF,,,"CLIO, 19, MEGEANE",21500,1,,2026-05-27
94,Correas,Correas de Distribucion,095SP170HS,SKF,,,"CLIO, 19, MEGEANE",21000,1,,2026-05-20
95,Correas,Correas de Distribucion,096SP170H,DAYCO,,,"CLIO, MEGANE, KANGOO",19000,1,,2026-05-27
96,Correas,Correas de Distribucion,101SP170H,SKF,,,"206, 306. 205",22000,1,,2026-05-20
97,Correas,Correas de Distribucion,104SP170H,SKF,,,"307, PARTNER, 206",22500,1,,2026-05-27
98,Correas,Correas de Distribucion,108SP170H,SKF,,,"307, PARTNER, 206. 306",23000,1,,2026-05-20
99,Correas,Correas de Distribucion,111SP170,DAYCO,,,CORSA,10000,3,,2026-05-27
100,Correas,Correas de Distribucion,118SP190,DAYCO,,,"505, R18, R21",17500,1,,2026-05-27
101,Correas,Correas de Distribucion,118SX190,SKF,,,"128, DUNA, UNO, PRISMA",16000,1,,2026-05-20
102,Correas,Correas de Distribucion,121SX180,SKF,,,"GACEL, GOL, GOLF",10500,1,,2026-05-20
103,Correas,Correas de Distribucion,121SX180,DAYCO,,,"GACEL, GOL, GOLF",10500,7,,2026-05-20
104,Correas,Correas de Distribucion,129P8SD220H,DAYCO,,,"PALIO, SIENA, UNO, DOBLO",23500,2,,2026-05-20
105,Correas,Correas de Distribucion,131SP+254HD,DAYCO,,,"ORION, ESCORT, FIESTA, MONDEO",34000,1,,2026-05-20
106,Correas,Correas de Distribucion,134SHPN170HS,SKF,,,"PALIO, SIENA, UNO",38000,1,,2026-05-20
107,Correas,Correas de Distribucion,134SP254H2,SKF,,,"307, PARTNER, 206, BERLINGO",47500,2,,2026-05-27
108,Correas,Correas de Distribucion,135SHX254,DAYCO,,,"GACEL, GOL, PASAT",28000,1,,2026-05-20
109,Correas,Correas de Distribucion,135STP8M190,DAYCO,,,"FOX, GOL TREND",18500,5,,2026-05-20
110,Correas,Correas de Distribucion,135STP8M190H,SKF,,,SURAN,22500,1,,2026-05-27
111,Correas,Correas de Distribucion,136SP254H,SKF,,,"406, BOXER, EXPERT",30000,2,,2026-05-27
112,Correas,Correas de Distribucion,140SP+254H,DAYCO,,,"PARTNER, 206, 306, COROLLA",37000,1,,2026-05-20
113,Correas,Correas de Distribucion,140SP+254HD,SKF,,,"PARTNER, 206, 306",37000,1,,2026-05-20
114,Correas,Correas de Distribucion,141SP+254H,SKF,,,"307, PARTNER, 206",49500,1,,2026-05-20
115,Correas,Correas de Distribucion,146STP8M200H,DAYCO,,,"ZAFIRA, FRONTERA",26000,1,,2026-05-27
116,Correas,Correas de Distribucion,169STP8M200H,DAYCO,,,"ASTRA, VECTRA, CORSA",48500,1,,2026-05-20
117,Correas,Kit de Distribucion,KTB201,DAYCO,,,GOL AUDI,38000,0,,2026-05-23
118,Correas,Kit de Distribucion,KTB466,DAYCO,,,FIAT FIRE C/AUTOMATICO,50000,1,,2026-05-23
119,Correas,Kit de Distribucion,KTB806,DAYCO,,,"FIAT FIRE 1.3/1,4",45000,1,,2026-05-23
120,Correas,Kit de Distribucion,KTB901,DAYCO,,,"FIAT IDEA, PALIO 1.8, CORSA II, MERIVA",43000,1,,2026-05-23
121,Correas,Kit de Distribucion,KTB901,DAYCO,,,"CORSA, AGILE , CLASSIC1.4",45000,2,,2026-06-01
122,Correas,Kit de Distribucion,VKMA01107A,SKF,,,VW,60000,0,,2026-05-23
123,Correas,Kit de Distribucion,VKMA06134A,SKF,,,RENAULT MOTOR K9K,109000,1,,2026-05-23
124,Correas,Kit de Distribucion,VKMC01107A,DAYCO,,,VW GOL TREN KIT + BOMBA DE AGUA,90000,1,,2026-05-23
125,Frenos,Pastillas de Freno,3012M,MAZFREN,,,FIAT 128 (1100),9000,2,,2026-06-25
126,Frenos,Pastillas de Freno,3013M,MAZFREN,,,R12,10000,1,,2026-06-25
127,Frenos,Pastillas de Freno,3023M,MAZFREN,,,"VW GACEL, SENDA, SAVEIRO, GOL",13000,1,,2026-06-25
128,Frenos,Pastillas de Freno,3028M,MAZFREN,,,"VW PASSAT, SENDA, GOL DIESEL",12000,2,,2026-06-25
129,Frenos,Pastillas de Freno,3031M,MAZFREN,,,"R 11, 9, 19, CLIO, EXPRES",13000,1,,2026-06-25
130,Frenos,Pastillas de Freno,3034M,MAZFREN,,,"PICK UP FORD F100, F150",16000,1,,2026-06-25
131,Frenos,Pastillas de Freno,3038M,MAZFREN,,,"CHEV CORSA 97, VW GOL 97",10000,2,,2026-06-25
132,Frenos,Pastillas de Freno,3055M,MAZFREN,,,"R 19, EXPRES, LOGAN, SANDERO, SYMBOL 09",13000,1,,2026-06-25
133,Frenos,Pastillas de Freno,3068M,MAZFREN,,,"CHEV CORSA, SUZUKI FUN",14000,2,,2026-06-25
134,Frenos,Pastillas de Freno,3092M,MAZFREN,,,FORD RANGER,19000,1,,2026-06-25
135,Frenos,Pastillas de Freno,3093M,MAZFREN,,,"FORD FIESTA¨97, KA ¨97",14000,1,,2026-06-25
136,Frenos,Pastillas de Freno,3100M,MAZFREN,,,RENAULT KANGOO,12000,1,,2026-06-28
137,Frenos,Pastillas de Freno,3106M,MAZFREN,,,"RENAULT 9, CLIO, MEGANE (trasera)",13000,1,,2026-06-25
138,Frenos,Pastillas de Freno,3117M,MAZFREN,,,"VW BORA, GOLF, FOX, SURAN, NUEVO POLO",21000,1,,2026-06-25
139,Frenos,Pastillas de Freno,3118M,MAZFREN,,,"VW BORA, FOX, GOLF",21000,1,,2026-06-25
140,Frenos,Pastillas de Freno,3137M,MAZFREN,,,TOYOTA HILUX,22000,1,,2026-06-25
141,Frenos,Pastillas de Freno,3146M,MAZFREN,,,CHEV AVEO,16000,1,,2026-06-25
142,Frenos,Pastillas de Freno,3166M,MAZFREN,,,"CHEV CORSA II, 1.0 1.6 02",18000,1,,2026-06-25
143,Frenos,Pastillas de Freno,3167M,MAZFREN,,,CHEV MERIVA ¨03,20000,2,,2026-06-25
144,Frenos,Pastillas de Freno,3169M,MAZFREN,,,CITROEN C3 (disc vent),19000,2,,2026-06-25
145,Frenos,Pastillas de Freno,3174M,MAZFREN,,,"FIAT IDEA ¨05, STRADA¨99, PALIO",15000,1,,2026-06-25
146,Frenos,Pastillas de Freno,3178M,MAZFREN,,,"FIAT STILO¨02, IDEA¨4, SIENA¨02",20000,1,,2026-06-25
147,Frenos,Pastillas de Freno,3201M,MAZFREN,,,VW AMAROK,24000,1,,2026-06-25
148,Frenos,Pastillas de Freno,3205M,MAZFREN,,,"CHEV CORSA WAGON, CLASICC, AGILE",14000,1,,2026-06-25
149,Frenos,Pastillas de Freno,3210M,MAZFREN,,,CHEV MERIVA 1.6,18000,2,,2026-06-25
150,Frenos,Pastillas de Freno,3212M,MAZFREN,,,"FIAT PALIO, SIENA 09",15000,1,,2026-06-25
151,Frenos,Pastillas de Freno,3215M,MAZFREN,,,VW GOL TREND,21000,1,,2026-06-25
152,Frenos,Pastillas de Freno,3221M,MAZFREN,,,"PEUGEOT 308,408,3008",22000,1,,2026-06-25
153,Frenos,Pastillas de Freno,3224M,MAZFREN,,,RENAULT DUSTER,18000,2,,2026-06-25
154,Frenos,Pastillas de Freno,3225M,MAZFREN,,,"VW VENTO, GOLF GTI",17000,1,,2026-06-25
155,Frenos,Pastillas de Freno,3228M,MAZFREN,,,FORD RANGER ¨12,25000,4,,2026-06-25
156,Frenos,Pastillas de Freno,3229M,MAZFREN,,,FORD FIESTA KINETIC,15000,1,,2026-06-25
157,Frenos,Pastillas de Freno,3236M,MAZFREN,,,"FORD FIESTA, KA",16000,1,,2026-06-25
158,Frenos,Pastillas de Freno,3238M,MAZFREN,,,FORD FOCUS ¨09 (trasera),25000,1,,2026-06-25
159,Frenos,Pastillas de Freno,3244M,MAZFREN,,,"RENAULT LOGAN 13, (araña chica)",17000,1,,2026-06-25
160,Frenos,Pastillas de Freno,3245M,MAZFREN,,,RENAULT LOGAN  ¨13 (araña grande),17000,3,,2026-06-25
161,Frenos,Pastillas de Freno,3250M,MAZFREN,,,TOYOTA COROLLA (autom - trasera),13000,1,,2026-06-25
162,Frenos,Pastillas de Freno,3260M,MAZFREN,,,"FIAT IDEA 07, PUNTO 07, STRADA 07",15000,1,,2026-06-25
163,Encendido,Cables de Bujias,06-1785,FERRAZI,,,R 9. 11. 12 .19  1.5 1.6,14000,1,,2026-05-20
